hip,ra,dec,mag,spect,con,proper,dist,bayer
677,0.139791,29.090432,2.07,B9p,And,Alpheratz,29.7442,Alp
3092,0.655462,30.861024,3.27,K3III...,And,,32.352,Del
3881,0.830234,41.078911,4.53,B5V SB,And,,189.3939,Nu
4436,0.945885,38.499345,3.86,A5V,And,,39.7772,Mu
5447,1.162194,35.620558,2.07,M0IIIvar,And,Mirach,60.5327,Bet
8832,1.89217,19.293852,3.88,A1p Si,Ari,Mesarthim,50.3018,Gam-2
8903,1.910668,20.808035,2.64,A5V...,Ari,Sheratan,17.9856,Bet
9640,2.064984,42.329725,2.1,B8V,And,Almach,120.4819,Gam-1
9884,2.119555,23.462423,2.01,K2III,Ari,Hamal,20.1776,Alp
11767,2.52975,89.264109,1.97,F7:Ib-IIv SB,UMi,Polaris,132.626,Alp
13209,2.833063,27.260507,3.61,B8Vn,Ari,Bharani,50.7872,
13254,2.843063,38.318644,4.22,F2III,Per,,37.0233,
13268,2.844945,55.895496,3.77,K3Ib comp SB,Per,Miram,269.5418,Eta
14328,3.079942,53.50644,2.91,G8III+...,Per,,74.5712,Gam
14354,3.08627,38.840274,3.32,M3IIIvar,Per,,94.3396,Rho
14576,3.136148,40.955648,2.09,B8V,Per,Algol,27.571,Bet
15863,3.405378,49.86118,1.79,F5Ib,Per,Mirfak,155.2795,Alp
17358,3.715416,47.787551,3.01,B5III SB,Per,,158.2278,Del
17448,3.738648,32.288248,3.84,B1III,Per,Atik,343.6426,Omi
18246,3.9022,31.883635,2.84,B1Ib,Per,,230.4147,Zet
18532,3.96423,40.010215,2.9,B0.5V,Per,,195.6947,Eps
18614,3.98275,35.791033,3.98,O7.5Iab:,Per,Menkib,381.6794,Xi
22449,4.830669,6.961276,3.19,F6V,Ori,Tabit,8.0684,Pi-3
22509,4.843534,8.900176,4.35,A1Vn,Ori,,68.8231,Pi-2
22549,4.853434,5.605104,3.68,B2III SB,Ori,,322.5806,Pi-4
22730,4.889659,2.508225,5.33,M1III,Ori,,181.1594,
22845,4.914924,10.150833,4.64,A0V,Ori,,35.6633,Pi-1
23015,4.949894,33.16609,2.69,K3IIvar,Aur,Hassaleh,151.2859,Iot
23123,4.975806,1.714016,4.47,K2IIvar,Ori,,289.8551,Pi-6
23453,5.041301,41.075837,3.69,K4II comp,Aur,Saclateni,240.9639,Zet
24436,5.242298,-8.20164,0.18,B8Ia,Ori,Rigel,264.5503,Bet
24608,5.27815,45.997991,0.08,M1: comp,Aur,Capella,13.1234,Alp
25336,5.418851,6.349702,1.64,B2III,Ori,Bellatrix,77.3994,Gam
25428,5.438198,28.60745,1.65,B7III,Tau,Elnath,41.0509,Bet
25930,5.533445,-0.299092,2.25,O9.5II,Ori,Mintaka,212.3142,Del
26207,5.585633,9.934158,3.39,O...,Ori,Meissa,336.7003,Lam
26311,5.603559,-1.20192,1.69,B0Ia,Ori,Alnilam,606.0606,Eps
26727,5.679313,-1.942572,1.74,O9.5Ib SB,Ori,Alnitak,225.7336,Zet
27366,5.795941,-9.669605,2.07,B0.5Iavar,Ori,Saiph,198.4127,Kap
27913,5.906386,20.276174,4.39,G0V,Ori,,8.6633,Chi-1
27989,5.919529,7.407063,0.45,M2Ib,Ori,Betelgeuse,152.6718,Alp
28360,5.992149,44.947433,1.9,A2V,Aur,Menkalinan,24.8694,Bet
28380,5.995351,37.212585,2.65,A0p Si,Aur,Mahasim,50.7614,The
